SentenceId,CodeElementId
UC1,CulturalHeritageAgencyManager.java
UC1,DBCulturalHeritage.java
UC1,IDBCulturalHeritage.java
UC1,CulturalHeritage.java
UC10,BeanRefreshmentPoint.java
UC10,IRefreshmentPointCommonManager.java
UC10,RefreshmentPointCommonManager.java
UC10,IDBRefreshmentPoint.java
UC10,DBRefreshmentPoint.java
UC10,RefreshmentPointAgencyManager.java
UC10,IRefreshmentPointAgencyManager.java
UC11,IDBConvention.java
UC11,BeanConvention.java
UC12,Tourist.java
UC12,TouristTableModel.java
UC12,BeanTourist.java
UC12,TouristCommonManager.java
UC13,ITouristAgencyManager.java
UC13,Tourist.java
UC13,DBTourist.java
UC13,IDBTourist.java
UC13,BeanTourist.java
UC14,IDBTourist.java
UC14,TouristAgencyManager.java
UC14,ITouristAgencyManager.java
UC14,AdvancedSearch.java
UC14,BeanTourist.java
UC15,IDBTourist.java
UC15,TouristAgencyManager.java
UC15,ITouristAgencyManager.java
UC15,ControlData.java
UC15,BeanTourist.java
UC15,TouristCommonManager.java
UC16,IDBTourist.java
UC16,TouristAgencyManager.java
UC16,ITouristAgencyManager.java
UC16,BeanTourist.java
UC17,BannerNode.java
UC17,ControlData.java
UC17,IDBBanner.java
UC17,DBBanner.java
UC17,BeanBanner.java
UC17,IAdvertisementManager.java
UC17,AdvertisementManager.java
UC17,AdvertisementAgencyManager.java
UC17,IAdvertisementAgencyManager.java
UC17,ControllDataAdvertisement.java
UC17,GlobalConstants.java
UC17,Banner.java
UC18,IAdvertisementManager.java
UC18,IDBBanner.java
UC18,DBBanner.java
UC18,BeanBanner.java
UC18,ErrorMessage.java
UC19,DBBanner.java
UC19,AdvertisementManager.java
UC19,IAdvertisementManager.java
UC19,BeanBanner.java
UC19,AdvertisementAgencyManager.java
UC19,IAdvertisementAgencyManager.java
UC19,ControllDataAdvertisement.java
UC19,GlobalConstants.java
UC19,Banner.java
UC2,DBCulturalHeritage.java
UC2,ICulturalHeritageAgencyManager.java
UC2,CulturalHeritageAgencyManager.java
UC2,CulturalHeritageChecker.java
UC2,BeanCulturalHeritage.java
UC2,CulturalHeritage.java
UC20,BannerNode.java
UC20,ControlData.java
UC20,IDBBanner.java
UC20,DBBanner.java
UC20,AdvertisementManager.java
UC20,IAdvertisementManager.java
UC20,BeanBanner.java
UC20,AdvertisementAgencyManager.java
UC20,IAdvertisementAgencyManager.java
UC20,ControllDataAdvertisement.java
UC20,GlobalConstants.java
UC20,Banner.java
UC21,IDBNews.java
UC21,AdvertisementAgencyManager.java
UC21,IAdvertisementAgencyManager.java
UC21,News.java
UC21,ControlData.java
UC21,BeanNews.java
UC21,ControllDataAdvertisement.java
UC22,IDBNews.java
UC22,AdvertisementAgencyManager.java
UC22,IAdvertisementAgencyManager.java
UC22,BeanNews.java
UC22,ControllDataAdvertisement.java
UC23,IDBNews.java
UC23,AdvertisementAgencyManager.java
UC23,IAdvertisementAgencyManager.java
UC23,News.java
UC23,ControlData.java
UC23,BeanNews.java
UC23,ControllDataAdvertisement.java
UC24,ICulturalHeritageAgencyManager.java
UC24,RefreshmentPointAgencyManager.java
UC24,IRefreshmentPointAgencyManager.java
UC24,CulturalHeritageCommonManager.java
UC24,RefreshmentPointCommonManager.java
UC24,IRefreshmentPointCommonManager.java
UC24,ICulturalHeritageCommonManager.java
UC24,FeedBackTableModel.java
UC24,TouristAgencyManager.java
UC24,ITouristAgencyManager.java
UC25,RefreshmentPointCommonManager.java
UC25,CulturalHeritageAgencyManager.java
UC25,ICulturalHeritageCommonManager.java
UC26,BeanVisitPR.java
UC26,FeedBackTableModel.java
UC27,ISearch.java
UC28,IDBTag.java
UC28,TagAgencyOperatorManager.java
UC28,ITagAgencyOperatorManager.java
UC28,TagTableModel.java
UC28,BeanTag.java
UC29,TagAgencyOperatorManager.java
UC3,DBCulturalHeritage.java
UC3,ICulturalHeritageAgencyManager.java
UC3,CulturalHeritageAgencyManager.java
UC3,CulturalHeritageChecker.java
UC3,BeanCulturalHeritage.java
UC3,CulturalHeritage.java
UC30,TagAgencyOperatorManager.java
UC30,DBTag.java
UC30,IDBTag.java
UC30,BeanTag.java
UC31,DBAgencyOperator.java
UC31,OperatorAgency.java
UC31,IDBAgencyOperator.java
UC32,DBAgencyOperator.java
UC32,OperatorAgency.java
UC33,ControlData.java
UC33,IDBTourist.java
UC33,DBTourist.java
UC33,ITouristClientManager.java
UC33,TouristClientManager.java
UC33,TouristCard.java
UC34,ISearch.java
UC34,CulturalHeritageCommonManager.java
UC34,ICulturalHeritageCommonManager.java
UC34,IRefreshmentPointCommonManager.java
UC34,RefreshmentPointCommonManager.java
UC35,IAuthentication.java
UC35,ControlData.java
