SentenceId,CodeElementId
UC10E1,GetUserNameAction.java
UC10E1,AuthDAO.java
UC10E2,GetUserNameAction.java
UC10E2,AuthDAO.java
UC10S1,EditPHRAction.java
UC10S1,PersonnelDAO.java
UC10S1,HealthRecordsDAO.java
UC10S1,OfficeVisitDAO.java
UC10S1,FamilyDAO.java
UC10S1,EditHealthHistoryAction.java
UC10S1,AuthDAO.java
UC10S2,TransactionDAO.java
UC11E1,GetUserNameAction.java
UC11E1,AuthDAO.java
UC11E2,GetUserNameAction.java
UC11E2,AuthDAO.java
UC11S1,EditOfficeVisitAction.java
UC11S1,OfficeVisitDAO.java
UC11S1,AllergyDAO.java
UC11S2,EditOfficeVisitAction.java
UC11S2,OfficeVisitDAO.java
UC11S2,AllergyDAO.java
UC12,TransactionDAO.java
UC13,EditRepresentativesAction.java
UC13,AuthDAO.java
UC13,PatientDAO.java
UC13E1,GetUserNameAction.java
UC13E1,AuthDAO.java
UC15E1,LOINCBeanValidator.java
UC15E1,MedicationBeanValidator.java
UC15E1,DiagnosisBeanValidator.java
UC15E1,ProcedureBeanValidator.java
UC15S1,UpdateCPTCodeListAction.java
UC15S1,CPTCodesDAO.java
UC15S2,UpdateICDCodeListAction.java
UC15S2,ICDCodesDAO.java
UC15S3,UpdateNDCodeListAction.java
UC15S3,NDCodesDAO.java
UC15S4,UpdateLOINCListAction.java
UC15S4,LOINCDAO.java
UC16,ChronicDiseaseRiskAction.java
UC16,RiskChecker.java
UC16,HeartDiseaseRisks.java
UC16,Type1DiabetesRisks.java
UC16,Type2DiabetesRisks.java
UC16,HealthRecordsDAO.java
UC17S1,GetVisitRemindersAction.java
UC17S1,VisitRemindersDAO.java
UC17S2,GetVisitRemindersAction.java
UC17S2,VisitRemindersDAO.java
UC17S3,GetVisitRemindersAction.java
UC17S3,VisitRemindersDAO.java
UC18E1,HospitalBeanValidator.java
UC18E2,HospitalBeanValidator.java
UC18S1,UpdateHospitalListAction.java
UC18S1,HospitalsDAO.java
UC18S2,UpdateHospitalListAction.java
UC18S2,HospitalsDAO.java
UC19E1,GetUserNameAction.java
UC19E1,AuthDAO.java
UC19E2,GetUserNameAction.java
UC19E2,AuthDAO.java
UC19S1,ViewPrescriptionRecordsAction.java
UC19S1,PatientDAO.java
UC19S1,EmailUtil.java
UC19S2,ViewPrescriptionRecordsAction.java
UC19S2,PatientDAO.java
UC1E1,AddPatientValidator.java
UC1S1,AddPatientAction.java
UC1S1,PatientDAO.java
UC1S1,AuthDAO.java
UC1S1,TransactionDAO.java
UC21E1,GetUserNameAction.java
UC21E1,AuthDAO.java
UC21E2,GetUserNameAction.java
UC21E2,AuthDAO.java
UC21S1,EmergencyReportAction.java
UC21S1,PatientDAO.java
UC21S1,AllergyDAO.java
UC23E1,GetUserNameAction.java
UC23E1,AuthDAO.java
UC23E2,GetUserNameAction.java
UC23E2,AuthDAO.java
UC23S1,GetUserNameAction.java
UC23S1,AuthDAO.java
UC23S3,ViewMyReportRequestsAction.java
UC23S3,ViewMyRecordsAction.java
UC23S3,ViewReportAction.java
UC23S3,ReportRequestDAO.java
UC23S3,PatientDAO.java
UC23S3,OfficeVisitDAO.java
UC23S3,HealthRecordsDAO.java
UC23S3,AllergyDAO.java
UC23S3,FamilyDAO.java
UC23S4,ViewMyReportRequestsAction.java
UC23S4,ReportRequestDAO.java
UC24,SurveyAction.java
UC24,SurveyDAO.java
UC25,ViewSurveyResultAction.java
